Categorie,Francais,Image_a_chercher,Icone_openmoji,Hexcode,Emoji,Type_correspondance,Qualite
La famille,le père,father,man,1F468,👨,override,bon
La famille,la mère,mother,woman,1F469,👩,override,bon
La famille,le frère,brother,boy,1F466,👦,override,bon
La famille,la sœur,sister,girl,1F467,👧,override,bon
La famille,le grand-père,grandfather,old man,1F474,👴,override,bon
La famille,la grand-mère,grandmother,old woman,1F475,👵,override,bon
La famille,l'oncle,uncle,man,1F468,👨,override,bon
La famille,la tante,aunt,woman,1F469,👩,override,bon
La famille,le cousin,cousin (male),boy,1F466,👦,override,bon
La famille,la cousine,cousin (female),girl,1F467,👧,override,bon
La famille,le fils,son,boy,1F466,👦,override,bon
La famille,la fille,daughter,girl,1F467,👧,override,bon
La famille,le mari,husband,man,1F468,👨,override,bon
La famille,la femme,wife,woman,1F469,👩,override,bon
La famille,les parents,parents,family,1F46A,👪️,override,bon
La famille,l'enfant,child,child,1F9D2,🧒,override,bon
La famille,le bébé,baby,baby,1F476,👶,annotation,bon
La famille,le neveu,nephew,boy,1F466,👦,override,approximatif
La famille,la nièce,niece,girl,1F467,👧,override,approximatif
La famille,la famille,family,family,1F46A,👪️,annotation,bon
La famille,le beau-père,stepfather / father-in-law,man,1F468,👨,override,approximatif
La famille,la belle-mère,stepmother / mother-in-law,woman,1F469,👩,override,approximatif
La famille,les jumeaux,twins,family,1F46A,👪️,override,bon
Le corps,la tête,head,face in clouds,1F636-200D-1F32B-FE0F,😶‍🌫️,tag,bon
Le corps,les cheveux,hair,woman: blond hair,1F471-200D-2640-FE0F,👱‍♀️,tag,bon
Le corps,le visage,face,grinning face,1F600,😀,tag,bon
Le corps,l'œil / les yeux,eye / eyes,eye,1F441,👁️,annotation,bon
Le corps,le nez,nose,nose,1F443,👃,annotation,bon
Le corps,la bouche,mouth,mouth,1F444,👄,annotation,bon
Le corps,la dent,tooth,tooth,1F9B7,🦷,annotation,bon
Le corps,l'oreille,ear,ear,1F442,👂️,annotation,bon
Le corps,le cou,neck,giraffe,1F992,🦒,tag,bon
Le corps,l'épaule,shoulder,person,1F9D1,🧑,override,bon
Le corps,le bras,arm,flexed biceps,1F4AA,💪,tag,bon
Le corps,la main,hand,face with hand over mouth,1F92D,🤭,tag,bon
Le corps,le doigt,finger,hand with fingers splayed,1F590,🖐️,tag,bon
Le corps,la jambe,leg,leg,1F9B5,🦵,annotation,bon
Le corps,le pied,foot,foot,1F9B6,🦶,annotation,bon
Le corps,le genou,knee,leg,1F9B5,🦵,tag,bon
Le corps,le dos,back,person,1F9D1,🧑,override,bon
Le corps,le ventre,stomach / belly,stomach,E313,,annotation,bon
Le corps,le cœur,heart,smiling face with hearts,1F970,🥰,tag,bon
Le corps,la peau,skin,adhesive bandage,1FA79,🩹,override,bon
Le corps,le sourcil,eyebrow,eye,1F441,👁️,override,bon
Le corps,le menton,chin,grinning face,1F600,😀,override,bon
Le corps,la poitrine,chest,person,1F9D1,🧑,override,bon
Le corps,l'ongle,nail,nail polish,1F485,💅,override,bon
Le corps,le coude,elbow,person,1F9D1,🧑,override,bon
Les vêtements,le pantalon,trousers / pants,jeans,1F456,👖,tag,bon
Les vêtements,le jean,jeans,jeans,1F456,👖,annotation,bon
Les vêtements,la robe,dress,dress,1F457,👗,annotation,bon
Les vêtements,la jupe,skirt,dress,1F457,👗,override,approximatif
Les vêtements,la chemise,shirt,running shirt,1F3BD,🎽,tag,bon
Les vêtements,le tee-shirt,t-shirt,t-shirt,1F455,👕,annotation,bon
Les vêtements,le pull,sweater,coat,1F9E5,🧥,override,approximatif
Les vêtements,la veste,jacket,lab coat,1F97C,🥼,tag,bon
Les vêtements,le manteau,coat,coat,1F9E5,🧥,annotation,bon
Les vêtements,les chaussures,shoes,man's shoe,1F45E,👞,tag,bon
Les vêtements,les baskets,sneakers,running shoe,1F45F,👟,tag-singular,bon
Les vêtements,les chaussettes,socks,socks,1F9E6,🧦,annotation,bon
Les vêtements,les sous-vêtements,underwear,briefs,1FA72,🩲,tag,bon
Les vêtements,la casquette,cap,person with skullcap,1F472,👲,tag,bon
Les vêtements,le chapeau,hat,cowboy hat face,1F920,🤠,tag,bon
Les vêtements,l'écharpe,scarf,scarf,1F9E3,🧣,annotation,bon
Les vêtements,les gants,gloves,gloves,1F9E4,🧤,annotation,bon
Les vêtements,la ceinture,belt,jeans,1F456,👖,override,approximatif
Les vêtements,le short,shorts,shorts,1FA73,🩳,annotation,bon
Les vêtements,le maillot de bain,swimsuit,one-piece swimsuit,1FA71,🩱,tag,bon
Les vêtements,le pyjama,pajamas,coat,1F9E5,🧥,override,approximatif
Les vêtements,les lunettes,glasses,glasses,1F453,👓️,annotation,bon
Les vêtements,le sac à dos,backpack,backpack,1F392,🎒,annotation,bon
Les vêtements,le bijou,jewel / jewelry,gem stone,1F48E,💎,tag,bon
